name,symptoms
Hypertension (Essential),Often asymptomatic
Hypertension (Essential),Headache
Hypertension (Essential),Dizziness
Hypertension (Essential),Shortness of breath
Hypertension (Essential),Chest pain
Hypertension (Essential),Visual changes
Hypertension (Essential),Nosebleeds
Hypertension (Essential),Tinnitus
Type 2 Diabetes Mellitus,Increased thirst
Type 2 Diabetes Mellitus,Frequent urination
Type 2 Diabetes Mellitus,Increased hunger
Type 2 Diabetes Mellitus,Fatigue
Type 2 Diabetes Mellitus,Blurred vision
Type 2 Diabetes Mellitus,Slow-healing sores
Type 2 Diabetes Mellitus,Frequent infections
Type 2 Diabetes Mellitus,Numbness in hands/feet
Type 2 Diabetes Mellitus,Dark skin patches (acanthosis nigricans)
Coronary Artery Disease,Chest pain (angina)
Coronary Artery Disease,Shortness of breath
Coronary Artery Disease,Fatigue
Coronary Artery Disease,Neck/jaw/arm pain
Coronary Artery Disease,Nausea
Coronary Artery Disease,Sweating
Coronary Artery Disease,Dizziness
Coronary Artery Disease,Heart palpitations
Coronary Artery Disease,Weakness
Chronic Obstructive Pulmonary Disease (COPD),Shortness of breath
Chronic Obstructive Pulmonary Disease (COPD),Chronic cough
Chronic Obstructive Pulmonary Disease (COPD),Sputum production
Chronic Obstructive Pulmonary Disease (COPD),Wheezing
Chronic Obstructive Pulmonary Disease (COPD),Chest tightness
Chronic Obstructive Pulmonary Disease (COPD),Fatigue
Chronic Obstructive Pulmonary Disease (COPD),Frequent respiratory infections
Chronic Obstructive Pulmonary Disease (COPD),Morning headaches
Chronic Obstructive Pulmonary Disease (COPD),Cyanosis
Gastroesophageal Reflux Disease (GERD),Heartburn
Gastroesophageal Reflux Disease (GERD),Regurgitation
Gastroesophageal Reflux Disease (GERD),Chest pain
Gastroesophageal Reflux Disease (GERD),Difficulty swallowing
Gastroesophageal Reflux Disease (GERD),Chronic cough
Gastroesophageal Reflux Disease (GERD),Hoarseness
Gastroesophageal Reflux Disease (GERD),Sore throat
Gastroesophageal Reflux Disease (GERD),Bad breath
Gastroesophageal Reflux Disease (GERD),Nausea
Chronic Kidney Disease,Fatigue
Chronic Kidney Disease,Decreased urine output
Chronic Kidney Disease,Swelling in legs/ankles/feet
Chronic Kidney Disease,Shortness of breath
Chronic Kidney Disease,Nausea
Chronic Kidney Disease,Confusion
Chronic Kidney Disease,Chest pain
Chronic Kidney Disease,Sleep problems
Chronic Kidney Disease,Itching
Rheumatoid Arthritis,Joint pain and swelling
Rheumatoid Arthritis,Morning stiffness
Rheumatoid Arthritis,Fatigue
Rheumatoid Arthritis,Fever
Rheumatoid Arthritis,Weight loss
Rheumatoid Arthritis,Weakness
Rheumatoid Arthritis,Rheumatoid nodules
Rheumatoid Arthritis,Joint deformity
Rheumatoid Arthritis,Eye inflammation
Asthma,Wheezing
Asthma,Shortness of breath
Asthma,Chest tightness
Asthma,Coughing
Asthma,Difficulty sleeping
Asthma,Exercise intolerance
Asthma,Anxiety
Asthma,Fatigue
Asthma,Rapid breathing
Hypothyroidism,Fatigue
Hypothyroidism,Weight gain
Hypothyroidism,Cold intolerance
Hypothyroidism,Dry skin
Hypothyroidism,Hair loss
Hypothyroidism,Depression
Hypothyroidism,Memory problems
Hypothyroidism,Constipation
Hypothyroidism,Muscle weakness
Hypothyroidism,Joint pain
Inflammatory Bowel Disease,Abdominal pain
Inflammatory Bowel Disease,Diarrhea
Inflammatory Bowel Disease,Weight loss
Inflammatory Bowel Disease,Fatigue
Inflammatory Bowel Disease,Blood in stool
Inflammatory Bowel Disease,Reduced appetite
Inflammatory Bowel Disease,Fever
Inflammatory Bowel Disease,Night sweats
Inflammatory Bowel Disease,Joint pain
Systemic Lupus Erythematosus,Fatigue
Systemic Lupus Erythematosus,Joint pain
Systemic Lupus Erythematosus,Butterfly rash
Systemic Lupus Erythematosus,Fever
Systemic Lupus Erythematosus,Photosensitivity
Systemic Lupus Erythematosus,Hair loss
Systemic Lupus Erythematosus,Mouth ulcers
Systemic Lupus Erythematosus,Raynaud's phenomenon
Systemic Lupus Erythematosus,Chest pain
Chronic Hepatitis B,Often asymptomatic
Chronic Hepatitis B,Fatigue
Chronic Hepatitis B,Abdominal pain
Chronic Hepatitis B,Loss of appetite
Chronic Hepatitis B,Nausea
Chronic Hepatitis B,Jaundice
Chronic Hepatitis B,Dark urine
Chronic Hepatitis B,Joint pain
Chronic Hepatitis B,Fever
Multiple Sclerosis,Fatigue
Multiple Sclerosis,Vision problems
Multiple Sclerosis,Numbness/tingling
Multiple Sclerosis,Muscle weakness
Multiple Sclerosis,Balance problems
Multiple Sclerosis,Cognitive changes
Multiple Sclerosis,Depression
Multiple Sclerosis,Bladder dysfunction
Multiple Sclerosis,Sexual problems
Celiac Disease,Diarrhea
Celiac Disease,Abdominal pain
Celiac Disease,Bloating
Celiac Disease,Fatigue
Celiac Disease,Weight loss
Celiac Disease,Anemia
Celiac Disease,Skin rash
Celiac Disease,Depression
Celiac Disease,Bone loss
Chronic Heart Failure,Shortness of breath
Chronic Heart Failure,Fatigue
Chronic Heart Failure,Swelling in legs/ankles
Chronic Heart Failure,Rapid heartbeat
Chronic Heart Failure,Weakness
Chronic Heart Failure,Reduced exercise tolerance
Chronic Heart Failure,Cough
Chronic Heart Failure,Nocturia
